layer,out_ch,w_amax,w_scale_mean,w_scale_max,w_dynamic_range,act_amax,act_scale,isolated_psnr
tail,3,0.045064881443977356,0.00034698331728577614,0.0003548415843397379,0.045064881443977356,1.6690342426300049,0.013142001910472479,53.07291615193178
upsampler.0,256,0.05822763964533806,0.00038671892252750695,0.0004584853595588356,0.05822763964533806,2.2513325214385986,0.01772702772786298,55.3041193405113
head,64,0.20110180974006653,0.0014661896275356412,0.001583478762768209,0.20110180974006653,1.0,0.007874015748031496,56.2483862209486
body.16,64,0.07327638566493988,0.0003910598752554506,0.0005769794224761426,0.07327638566493988,2.7831871509552,0.02191485945634016,58.53565811473204
body.15.conv2,64,0.10773946344852448,0.0005766169633716345,0.0008483422570861876,0.10773946344852448,2.1774940490722656,0.017145622433639887,68.85854931196835
body.13.conv2,64,0.10360187292098999,0.0005810487782582641,0.0008157627889886498,0.10360187292098999,1.7639052867889404,0.01388901800621213,70.21192959997458
body.14.conv2,64,0.0842658132314682,0.0004899747436866164,0.0006635103491134942,0.0842658132314682,1.8775882720947266,0.014784159622793122,70.40363247468065
body.12.conv2,64,0.10983292758464813,0.0005970146739855409,0.0008648262009955943,0.10983292758464813,1.556909203529358,0.012259127586845338,71.10566150968933
body.8.conv2,64,0.10989104211330414,0.0005808050045743585,0.000865283771418035,0.10989104211330414,1.3357129096984863,0.010517424485814853,71.47417207681468
body.5.conv2,64,0.08889073133468628,0.0005230047972872853,0.0006999270408414304,0.08889073133468628,1.2222468852996826,0.009623991222832147,71.89929897445553
body.0.conv2,64,0.1078655943274498,0.0005859698867425323,0.0008493353961966932,0.1078655943274498,0.9844837784767151,0.007751840775407206,72.13203180984883
body.15.conv1,64,0.13433566689491272,0.0004752232925966382,0.0010577611392363906,0.13433566689491272,2.4345297813415527,0.019169525837335062,72.2175105758531
body.11.conv2,64,0.09705237299203873,0.0005582422600127757,0.0007641919073648751,0.09705237299203873,1.3167990446090698,0.010368496414244645,72.21990428639076
body.6.conv2,64,0.09420637041330338,0.0005327982362359762,0.0007417824235744774,0.09420637041330338,1.0975195169448853,0.008641885960195947,72.80369656978682
body.2.conv2,64,0.1069469004869461,0.0006131629925221205,0.0008421015809290111,0.1069469004869461,1.0565989017486572,0.00831967639172171,72.83800604552492
body.7.conv2,64,0.09862463176250458,0.0005838967626914382,0.0007765719201415777,0.09862463176250458,1.1121610403060913,0.008757173545717254,72.86027457661595
body.13.conv1,64,0.1052664965391159,0.00047506962437182665,0.0008288700482808053,0.1052664965391159,2.0681989192962646,0.01628503086060051,73.04955482664484
body.1.conv2,64,0.260356605052948,0.0008352090371772647,0.0020500519312918186,0.260356605052948,0.9225884675979614,0.007264476122818594,73.09836465093458
body.14.conv1,64,0.08062177896499634,0.0004346371570136398,0.000634817173704505,0.08062177896499634,2.296449661254883,0.01808228079728254,73.22884237037638
body.9.conv2,64,0.10162746906280518,0.0005375131731852889,0.0008002162794582546,0.10162746906280518,1.1662651300430298,0.009183190000338817,73.3132681420841
body.3.conv2,64,0.10586341470479965,0.0006008909549564123,0.000833570200484246,0.10586341470479965,1.043758511543274,0.008218570957033653,73.32053373708902
body.0.conv1,64,0.12087123095989227,0.00047656201058998704,0.0009517419966869056,0.12087123095989227,1.416978359222412,0.011157309915137104,73.65223203869186
body.12.conv1,64,0.09606409817934036,0.000472327577881515,0.0007564102415926754,0.09606409817934036,1.8614928722381592,0.014657424190851647,73.8053686008181
body.10.conv2,64,0.11786907911300659,0.000537777435965836,0.0009281029924750328,0.11786907911300659,1.1240195035934448,0.00885054727238933,74.10213048051381
body.11.conv1,64,0.10097464919090271,0.0004615745274350047,0.0007950759609229863,0.10097464919090271,1.6806144714355469,0.013233184814453125,74.31171195501025
body.7.conv1,64,0.09950291365385056,0.00046908165677450597,0.0007834875141270459,0.09950291365385056,1.3699309825897217,0.010786858130627729,75.17193871700555
body.2.conv1,64,0.1439787745475769,0.0004707740154117346,0.0011336911702528596,0.1439787745475769,1.1381908655166626,0.0089621327993438,75.28667318804604
body.9.conv1,64,0.09609449654817581,0.000464847864350304,0.0007566495914943516,0.09609449654817581,1.496961236000061,0.011787096346457174,75.37398099793614
body.1.conv1,64,0.11109046638011932,0.00048578568384982646,0.0008747280808165669,0.11109046638011932,1.2061588764190674,0.00949731398755171,75.44839487832748
body.5.conv1,64,0.08816653490066528,0.00047569136950187385,0.0006942246691323817,0.08816653490066528,1.2649028301239014,0.009959864804125208,75.56141533755766
body.10.conv1,64,0.1101243793964386,0.00045425706775859,0.0008671210962347686,0.1101243793964386,1.5748978853225708,0.012400770750571423,75.56389077783749
body.8.conv1,64,0.1181122213602066,0.0004560681409202516,0.0009300175006501377,0.1181122213602066,1.344139575958252,0.010583776188647653,75.64917679622675
body.6.conv1,64,0.09173749387264252,0.0004592484619934112,0.0007223424618132412,0.09173749387264252,1.2944741249084473,0.010192709644948403,75.70129944538263
body.3.conv1,64,0.11914366483688354,0.0005003210389986634,0.0009381390991620719,0.11914366483688354,1.0901296138763428,0.008583697747057818,76.1340458440038
body.4.conv2,64,0.09180286526679993,0.0005361439543776214,0.000722857192158699,0.09180286526679993,0.7886205911636353,0.006209610954044372,76.38919173162405
body.4.conv1,64,0.07954919338226318,0.00045436600339598954,0.0006263715913519263,0.07954919338226318,1.0901355743408203,0.008583744679848978,77.95918299042216
