layer,out_ch,w_amax,w_scale_mean,w_scale_max,w_dynamic_range,act_amax,act_scale,isolated_psnr
tail,3,0.045064881443977356,0.00034698331728577614,0.0003548415843397379,0.045064881443977356,1.6689685583114624,0.013141484711113878,53.05729086591317
upsampler.0,256,0.05822763964533806,0.00038671892252750695,0.0004584853595588356,0.05822763964533806,2.297079086303711,0.01808723690002922,55.13316517280021
long_skip_add,0,nan,nan,nan,nan,nan,nan,55.14994580718322
head,64,0.20110180974006653,0.0014661896275356412,0.001583478762768209,0.20110180974006653,1.0,0.007874015748031496,56.729769048318076
body.16,64,0.07327638566493988,0.0003910598752554506,0.0005769794224761426,0.07327638566493988,2.7833211421966553,0.021915914505485475,58.524778715171834
body.15.skip_add,0,nan,nan,nan,nan,nan,nan,59.3410718316201
body.14.skip_add,0,nan,nan,nan,nan,nan,nan,59.696551172990894
body.0.skip_add,0,nan,nan,nan,nan,nan,nan,60.09709596394269
body.13.skip_add,0,nan,nan,nan,nan,nan,nan,60.353658376277224
body.12.skip_add,0,nan,nan,nan,nan,nan,nan,61.098825840172886
body.11.skip_add,0,nan,nan,nan,nan,nan,nan,61.79407305242255
body.1.skip_add,0,nan,nan,nan,nan,nan,nan,62.001191543701125
body.10.skip_add,0,nan,nan,nan,nan,nan,nan,62.37093947666324
body.9.skip_add,0,nan,nan,nan,nan,nan,nan,62.46523594451574
body.7.skip_add,0,nan,nan,nan,nan,nan,nan,62.77650827707773
body.6.skip_add,0,nan,nan,nan,nan,nan,nan,62.80819313769218
body.5.skip_add,0,nan,nan,nan,nan,nan,nan,62.88632082886161
body.3.skip_add,0,nan,nan,nan,nan,nan,nan,62.9765863247282
body.2.skip_add,0,nan,nan,nan,nan,nan,nan,63.08513102248035
body.8.skip_add,0,nan,nan,nan,nan,nan,nan,63.17154112066288
body.4.skip_add,0,nan,nan,nan,nan,nan,nan,63.301552269036385
body.15.conv2,64,0.10773946344852448,0.0005766169633716345,0.0008483422570861876,0.10773946344852448,2.1779470443725586,0.01714918932576818,68.63908958227164
body.12.conv2,64,0.10983292758464813,0.0005970146739855409,0.0008648262009955943,0.10983292758464813,1.939085602760315,0.015268390572915866,69.11415275003759
body.13.conv2,64,0.10360187292098999,0.0005810487782582641,0.0008157627889886498,0.10360187292098999,1.8951557874679565,0.014922486515495721,69.36347302619372
body.1.conv2,64,0.260356605052948,0.0008352090371772647,0.0020500519312918186,0.260356605052948,1.3671306371688843,0.010764808166684129,69.62503955185336
body.14.conv2,64,0.0842658132314682,0.0004899747436866164,0.0006635103491134942,0.0842658132314682,1.8778785467147827,0.014786445249722698,70.01390046345355
body.3.conv2,64,0.10586341470479965,0.0006008909549564123,0.000833570200484246,0.10586341470479965,1.4048290252685547,0.011061645868256337,70.44711392463051
body.2.conv2,64,0.1069469004869461,0.0006131629925221205,0.0008421015809290111,0.1069469004869461,1.3020942211151123,0.0102527104024812,70.76363502084925
body.0.conv2,64,0.1078655943274498,0.0005859698867425323,0.0008493353961966932,0.1078655943274498,1.0999196767807007,0.00866078485654095,70.84078834228002
body.8.conv2,64,0.10989104211330414,0.0005808050045743585,0.000865283771418035,0.10989104211330414,1.3357748985290527,0.010517912586842934,71.32830500909526
body.11.conv2,64,0.09705237299203873,0.0005582422600127757,0.0007641919073648751,0.09705237299203873,1.3760312795639038,0.010834891965070108,71.56386308404538
body.5.conv2,64,0.08889073133468628,0.0005230047972872853,0.0006999270408414304,0.08889073133468628,1.2221388816833496,0.009623140800656297,71.67815667679322
body.15.conv1,64,0.13433566689491272,0.0004752232925966382,0.0010577611392363906,0.13433566689491272,2.43473744392395,0.019171160975779134,71.92440456590775
body.6.conv2,64,0.09420637041330338,0.0005327982362359762,0.0007417824235744774,0.09420637041330338,1.1687021255493164,0.0092023789413332,72.11528908424394
body.10.conv2,64,0.11786907911300659,0.000537777435965836,0.0009281029924750328,0.11786907911300659,1.3618661165237427,0.010723355248218446,72.40776684748356
body.7.conv2,64,0.09862463176250458,0.0005838967626914382,0.0007765719201415777,0.09862463176250458,1.112205982208252,0.008757527418962614,72.4858173471515
body.13.conv1,64,0.1052664965391159,0.00047506962437182665,0.0008288700482808053,0.1052664965391159,2.0680670738220215,0.01628399270726001,72.75257799652972
body.14.conv1,64,0.08062177896499634,0.0004346371570136398,0.000634817173704505,0.08062177896499634,2.296335458755493,0.018081381565003884,72.76685520229519
body.0.conv1,64,0.12087123095989227,0.00047656201058998704,0.0009517419966869056,0.12087123095989227,1.431372880935669,0.011270652605792669,73.2439775323527
body.9.conv2,64,0.10162746906280518,0.0005375131731852889,0.0008002162794582546,0.10162746906280518,1.1661908626556396,0.009182605217760943,73.25943235435687
body.12.conv1,64,0.09606409817934036,0.000472327577881515,0.0007564102415926754,0.09606409817934036,1.8613836765289307,0.014656564382117564,73.6603125786952
body.11.conv1,64,0.10097464919090271,0.0004615745274350047,0.0007950759609229863,0.10097464919090271,1.6808536052703857,0.013235067758034534,73.99041589120911
body.4.conv2,64,0.09180286526679993,0.0005361439543776214,0.000722857192158699,0.09180286526679993,0.9023835062980652,0.007105381939354844,74.65248450846818
body.7.conv1,64,0.09950291365385056,0.00046908165677450597,0.0007834875141270459,0.09950291365385056,1.3697556257247925,0.010785477367911751,74.73121402405174
body.1.conv1,64,0.11109046638011932,0.00048578568384982646,0.0008747280808165669,0.11109046638011932,1.2061821222305298,0.009497497025437243,75.05193933989442
body.2.conv1,64,0.1439787745475769,0.0004707740154117346,0.0011336911702528596,0.1439787745475769,1.1382166147232056,0.008962335549001619,75.22012722709944
body.9.conv1,64,0.09609449654817581,0.000464847864350304,0.0007566495914943516,0.09609449654817581,1.4967929124832153,0.011785770964434766,75.27776295594472
body.3.conv1,64,0.11914366483688354,0.0005003210389986634,0.0009381390991620719,0.11914366483688354,1.1198979616165161,0.00881809418595682,75.31983911307128
body.5.conv1,64,0.08816653490066528,0.00047569136950187385,0.0006942246691323817,0.08816653490066528,1.2647705078125,0.009958822896161417,75.32552365358762
body.10.conv1,64,0.1101243793964386,0.00045425706775859,0.0008671210962347686,0.1101243793964386,1.5747499465942383,0.01239960587869479,75.42466440087422
body.6.conv1,64,0.09173749387264252,0.0004592484619934112,0.0007223424618132412,0.09173749387264252,1.294296383857727,0.010191310109115961,75.44752749793244
body.8.conv1,64,0.1181122213602066,0.0004560681409202516,0.0009300175006501377,0.1181122213602066,1.343976378440857,0.010582491168825646,75.46553873506313
body.4.conv1,64,0.07954919338226318,0.00045436600339598954,0.0006263715913519263,0.07954919338226318,1.1638818979263306,0.009164424393120714,76.75395391175772
