layer_idx,layer_name,psnr_when_only_this_layer_q8,psnr_drop_db
35,tail,27.409451751708986,0.029140930175781676
34,upsampler.0,27.42025115966797,0.0183415222167973
0,head,27.422569885253907,0.01602279663086037
33,body.16,27.43305358886719,0.005539093017578267
2,body.0.conv2,27.437576599121094,0.001016082763673154
32,body.15.conv2,27.437748260498047,0.000844421386720029
4,body.1.conv2,27.437798767089845,0.0007939147949223013
12,body.5.conv2,27.437926483154296,0.0006661987304710237
28,body.13.conv2,27.43794502258301,0.0006476593017588073
26,body.12.conv2,27.437980041503906,0.0006126403808615066
14,body.6.conv2,27.438086166381837,0.0005065155029306823
22,body.10.conv2,27.438109283447265,0.00048339843750255795
30,body.14.conv2,27.438151397705077,0.00044128417968991585
31,body.15.conv1,27.438179321289063,0.000413360595704404
7,body.3.conv1,27.43821792602539,0.00037475585937585265
24,body.11.conv2,27.43824264526367,0.00035003662109645006
18,body.8.conv2,27.43825355529785,0.0003391265869154836
16,body.7.conv2,27.438262939453125,0.0003297424316421882
20,body.9.conv2,27.43827262878418,0.0003200531005873586
29,body.14.conv1,27.43833801269531,0.00025466918945582506
13,body.6.conv1,27.43835418701172,0.0002384948730487224
25,body.12.conv1,27.438369750976562,0.0002229309082046882
23,body.11.conv1,27.438377838134766,0.00021484375000113687
17,body.8.conv1,27.4383869934082,0.0002056884765657685
27,body.13.conv1,27.438394470214845,0.0001982116699217329
19,body.9.conv1,27.438441696166993,0.00015098571777372172
21,body.10.conv1,27.438443222045898,0.00014945983886960335
15,body.7.conv1,27.43846305847168,0.0001296234130876428
9,body.4.conv1,27.438470153808595,0.00012252807617230133
11,body.5.conv1,27.43847801208496,0.00011466979980667702
10,body.4.conv2,27.438480300903322,0.00011238098144517039
1,body.0.conv1,27.438489990234373,0.0001026916503938935
6,body.2.conv2,27.438600158691408,-7.4768066404828915e-06
5,body.2.conv1,27.43865707397461,-6.439208984332367e-05
3,body.1.conv1,27.438681030273436,-8.834838866889072e-05
8,body.3.conv2,27.438806457519533,-0.0002137756347657671
