epoch,train_loss,val_psnr_db,val_ssim
1,0.026444,27.4182,0.789000
2,0.026692,27.4069,0.787853
3,0.027243,27.3934,0.787488
4,0.027358,27.4072,0.787462
5,0.026918,27.4112,0.786979
6,0.026886,27.4209,0.788194
7,0.026266,27.4242,0.788203
8,0.026785,27.4369,0.788971
9,0.026828,27.4263,0.788167
10,0.026654,27.4333,0.788804
11,0.027942,27.4189,0.788864
12,0.026442,27.4299,0.789008
13,0.026075,27.4326,0.789068
14,0.026689,27.4316,0.788375
15,0.026679,27.4406,0.789754
16,0.026814,27.4287,0.788095
17,0.027349,27.4406,0.788300
18,0.026490,27.4364,0.788655
19,0.026123,27.4460,0.789305
20,0.027080,27.4441,0.789776
